emotion,keywords,source_type,tool_name,tool_description,ego_explanation,youtube_query,patristic_explanation,citation,priority
anger,injustice conflict blame,psychology,cognitive reframing,Challenge interpretation of events.,Anger protects ego identity,anger CBT techniques,Anger is misdirected energy,Evidence review,1
anger,physiological arousal,psychology,relaxation breathing,Reduce activation before reacting.,Body fuels anger escalation,calming anger breathing,Stillness reduces impulsive passions,Anger studies,1
anger,impulse reaction,psychology,pause technique,Delay reaction by 10 seconds.,Ego seeks immediate retaliation,anger pause technique,Silence disarms anger,Patristic silence Cassian,1
anger,rumination,psychology,thought interruption,Stop repetitive hostile thinking.,Attachment to injustice narrative,stop anger rumination,Thoughts (logismoi) trigger anger,Evagrius,1
anger,control dominance,spiritual,humility reflection,Reflect on limits of control.,Anger tied to power attachment,humility anger spirituality,Anger transformed into love,Maximus,1
anger,aggression,psychology,skills training,Improve communication.,Aggression from unmet needs,anger communication skills,Anger redirected constructively,Meta-analysis anger,1
anxiety,future worry fear uncertainty,psychology,cognitive restructuring,Identify automatic thoughts and evaluate their realism.,Comes from need to control future,CBT anxiety explanation,Anxiety linked to lack of trust and control,CBT meta-analysis,1
anxiety,physical tension stress,psychology,deep breathing,Slow inhale-exhale reduces physiological arousal.,Body reacts to imagined threat,breathing for anxiety,Body and passions are interconnected,CBT studies,1
anxiety,present moment thinking,psychology,mindfulness grounding,Focus attention on present sensory input.,Mind escapes to future threats,mindfulness anxiety,Watchfulness (nepsis) keeps attention present,MBCT study,1
anxiety,avoidance fear,psychology,exposure,Gradual exposure reduces fear response.,Avoidance reinforces fear,exposure therapy anxiety,Facing fear transforms passion,CBT handbook,1
anxiety,overthinking,psychology,thought labeling,Label thoughts as unjust thoughts.,Attachment to thoughts creates fear,overthinking CBT,Logismoi must be observed not believed,CBT,2
anxiety,spiritual trust,spiritual,breath prayer,Inhale prayer, exhale surrender.,Fear is lack of surrender,Jesus prayer anxiety,Trust replaces anxious passion Philokalia,1
anxiety,fear health,psychology,psychoeducation,Understand anxiety mechanism.,Fear amplified by ignorance,what is anxiety CBT,Knowledge reduces fear,Primary care anxiety,1
anxiety,panic,psychology,grounding technique,Focus on reality signals.,Catastrophic misinterpretation drives panic,panic grounding,Panic reduces when attention stabilized,CBT study,1
existential_frustration,meaninglessness emptiness,existential,meaning discovery,Find value in current situation.,Ego wants imposed meaning,meaning life frankl,Meaning discovered not created,Frankl,1
existential_frustration,loss of direction,existential,value clarification,Identify core values.,Loss of orientation causes suffering,life values therapy,Align life with meaningfulness,Existential analysis,1
existential_frustration,identity confusion,psychology,goal orientation,Define realistic goals.,Disconnection from purpose,motivation goal setting,Goals structure life meaning,Motivational counseling,1
existential_frustration,spiritual,spiritual,contemplation,Be present to existence.,Seeking control over meaning,mystery contemplation,Meaning revealed through presence,Orthodox theology,1
existential_frustration,suffering,existential,attitude shift,Change perspective toward suffering.,Resistance creates despair,meaning suffering therapy,Acceptance transforms suffering,Existential suffering,1
loneliness,isolation disconnection,psychology,social behavior activation,Increase interaction frequency.,Withdrawal deepens loneliness,loneliness CBT,Relation heals isolation,Loneliness study,1
loneliness,lack of meaning,existential,purpose building,Set meaningful goals.,Lack of meaning increases loneliness,meaning and loneliness,Meaning reduces loneliness,MiL study,1
loneliness,self-perception,psychology,cognitive reframing,Challenge self-judgment.,Ego defines self as rejected,loneliness thinking errors,False self generates isolation,CBT loneliness,1
loneliness,spiritual solitude,spiritual,prayer presence,Transform loneliness into solitude.,Attachment to human validation,solitude spiritual meaning,Solitude becomes communion,Orthodox study,1
